187.45,170.07,152.86,137.75,123.66,108.19,92.02,74.53,50.33,24.41,0.0,24.21,48.02,71.18,93.64,116.69,139.28,184.39,189.25,183.7,174.47,163.27,158.86,160.51,161.05,156.46,144.68,144.56,130.55,117.69,104.24,98.72,92.8,86.53,85.0,83.77,161.48,161.72,155.55,144.06,146.18,152.8,131.03,136.19,135.13,128.04,123.1,125.16,83.65,81.4,77.78,70.18,66.29,56.36,45.31,44.41,48.92,55.47,63.13,72.47,79.76,71.06,63.66,59.03,48.3,58.26,63.7,70.43
186.82,171.68,157.18,144.92,134.21,122.04,109.04,94.34,72.2,48.1,24.21,0.0,24.17,48.08,71.06,94.37,117.28,181.29,183.98,176.21,165.05,152.12,145.4,144.81,143.27,137.03,124.2,133.36,120.42,108.81,97.08,96.61,89.81,82.33,78.49,75.29,157.81,156.35,148.53,136.21,140.19,148.52,117.18,120.6,117.89,109.66,105.91,109.77,91.22,85.44,78.71,69.84,63.25,51.4,39.41,44.38,53.6,62.17,71.02,80.41,86.59,74.67,65.92,58.59,44.1,58.14,66.48,74.33
183.48,170.85,159.36,150.21,143.06,134.35,124.65,112.87,93.09,71.06,48.02,24.17,0.0,24.33,47.52,70.86,93.9,175.57,176.05,166.17,153.26,138.81,129.87,127.02,123.45,115.73,102.04,120.42,108.98,99.16,89.87,94.7,87.46,79.31,73.36,68.26,151.99,148.84,139.52,126.67,132.44,142.3,101.87,103.37,98.98,89.74,87.32,93.02,99.02,90.35,81.22,72.01,63.56,51.79,42.01,51.24,62.65,71.7,80.62,89.27,94.01,80.1,71.06,62.2,47.04,62.13,72.03,80.06
176.98,167.11,158.91,153.08,149.64,144.56,138.31,129.63,112.54,92.96,71.18,48.08,24.33,0.0,23.19,46.53,69.58,166.81,165.05,153.22,138.77,123.04,112.0,106.94,101.51,92.57,78.31,105.48,96.02,88.59,82.54,92.66,85.48,77.32,69.72,63.15,143.6,138.8,128.16,115.12,122.59,133.75,84.96,84.31,78.26,68.15,67.23,74.81,106.23,95.35,84.59,75.95,66.75,57.01,51.43,62.18,73.79,82.35,90.62,98.03,101.14,86.35,77.88,68.68,55.54,68.96,79.12,86.59
172.93,165.98,161.11,158.49,158.43,156.54,153.22,147.09,132.2,114.49,93.64,71.06,47.52,23.19,0.0,23.35,46.39,160.65,156.59,142.89,127.03,110.21,96.94,89.2,81.39,70.88,55.9,94.15,87.46,83.2,81.1,95.75,89.11,81.58,73.16,65.92,138.32,131.91,120.15,107.34,116.39,128.58,72.11,68.62,60.44,49.41,50.93,60.8,116.78,104.55,93.05,85.49,76.49,69.34,67.21,77.9,88.87,96.61,104.01,110.15,111.83,97.05,89.55,80.78,70.29,81.3,90.92,97.49
172.94,169.07,167.53,167.93,170.86,171.68,170.74,166.6,153.39,136.97,116.69,94.37,70.86,46.53,23.35,0.0,23.09,158.67,152.2,136.7,119.62,102.04,86.45,75.29,64.03,51.0,34.93,88.6,85.59,85.09,87.1,105.0,99.16,92.61,84.1,76.92,137.82,129.88,117.28,105.22,115.62,128.47,66.22,59.09,48.37,37.12,42.72,54.57,131.47,118.51,106.85,100.44,92.01,86.98,87.01,97.31,107.56,114.56,121.17,126.21,126.75,112.41,105.89,97.74,89.38,98.41,107.3,113.0
174.07,173.28,174.91,178.1,183.7,186.95,188.14,185.8,174.15,158.96,139.28,117.28,93.9,69.58,46.39,23.09,0.0,158.11,149.35,132.38,114.54,96.88,79.56,65.0,49.93,34.06,18.36,87.02,87.97,91.09,96.61,116.47,111.52,106.02,97.8,91.05,139.23,130.0,117.0,106.23,117.52,130.55,66.27,56.01,44.01,35.51,44.38,55.9,146.86,133.54,122.02,116.69,108.93,105.6,107.19,117.05,126.61,132.91,138.77,142.84,142.43,128.72,123.11,115.62,109.0,116.39,124.52,129.42
19.42,36.4,58.69,80.1,103.02,124.68,144.73,161.97,174.05,183.62,184.39,181.29,175.57,166.81,160.65,158.67,158.11,0.0,17.2,33.84,49.4,64.33,82.2,99.82,117.89,132.97,142.03,71.11,73.5,78.29,85.7,85.7,91.93,99.04,103.08,107.42,23.6,28.86,41.44,53.6,44.38,33.29,92.78,102.12,114.11,123.58,116.25,104.24,110.98,106.33,107.0,114.21,118.8,130.14,142.17,140.19,136.21,131.75,126.91,119.88,112.25,115.11,121.21,125.4,137.89,126.15,121.4,115.94
36.07,53.23,74.46,95.04,117.27,138.03,157.04,173.0,183.17,190.59,189.25,183.98,176.05,165.05,156.59,152.2,149.35,17.2,0.0,18.68,36.22,53.01,71.0,88.14,106.23,122.02,132.46,63.6,69.35,77.01,86.98,91.07,96.52,102.8,105.55,108.89,29.41,27.66,36.89,49.93,43.84,36.72,86.02,93.94,105.72,115.95,109.48,97.72,120.5,114.24,113.25,119.57,123.0,133.69,145.58,144.84,142.17,138.65,134.74,128.51,121.15,122.09,127.26,130.36,141.65,131.19,127.63,122.98
53.25,67.01,85.43,104.04,124.74,143.78,161.0,175.03,182.63,187.38,183.7,176.21,166.17,153.22,142.89,136.7,132.38,33.84,18.68,0.0,18.03,35.51,53.24,70.0,88.02,104.04,115.12,48.76,57.38,67.48,79.61,87.92,92.31,97.49,98.79,101.02,34.21,26.0,28.18,40.0,38.28,37.0,71.11,77.79,89.29,99.93,94.15,82.76,121.34,113.27,110.39,115.55,117.65,127.42,138.97,139.59,138.4,136.01,133.24,128.1,121.2,119.85,123.86,125.67,135.48,126.57,124.42,120.81
68.45,78.64,93.81,110.02,128.75,145.78,161.01,173.0,178.06,180.28,174.47,165.05,153.26,138.77,127.03,119.62,114.54,49.4,36.22,18.03,0.0,17.72,35.23,52.01,70.06,86.02,97.16,33.3,44.65,56.8,70.58,82.73,85.91,89.84,89.69,90.79,41.87,30.81,24.52,31.58,35.36,40.25,54.92,60.54,71.78,82.64,77.37,66.37,119.0,109.37,104.74,108.67,109.44,118.19,129.25,131.1,131.32,130.05,128.41,124.4,118.11,114.59,117.39,117.95,126.21,118.9,118.13,115.57
